150 PA5-A-Debug-Output.txt 6
   -0.3889  -11.1399   21.7789  145.0582   62.9300  -90.3608
  -37.28   -22.55   -24.51       -37.28   -22.55   -24.51     0.000
   29.81     4.15    34.29        29.81     4.15    34.29     0.000
  -29.26     3.29   -10.97       -29.26     3.29   -10.97     0.000
  -18.93   -23.46   -43.07       -18.93   -23.46   -43.07     0.000
   20.26     0.40   -20.13        20.26     0.40   -20.13     0.000
  -24.27    -6.50    -6.33       -24.27    -6.50    -6.33     0.000
   -3.73    17.50    18.30        -3.73    17.50    18.30     0.000
   30.71     6.98    25.92        30.71     6.98    25.92     0.000
   -9.72   -24.17   -17.22        -9.72   -24.17   -17.22     0.000
  -14.44    -4.88     7.23       -14.44    -4.88     7.23     0.000
  -38.98   -17.33   -38.58       -38.98   -17.33   -38.58     0.000
  -15.07     5.79    -1.18       -15.07     5.79    -1.18     0.000
  -25.05    12.96    20.84       -25.05    12.96    20.84     0.000
   27.97     3.52    41.96        27.97     3.52    41.96     0.000
   19.14    -5.37    44.64        19.14    -5.37    44.64     0.000
   33.55    -9.67   -10.39        33.55    -9.67   -10.39     0.000
   40.18     9.51    -9.72        40.18     9.51    -9.72     0.000
  -30.38   -26.01   -18.59       -30.38   -26.01   -18.59     0.000
  -36.02   -10.06   -13.33       -36.02   -10.06   -13.33     0.000
  -34.26   -20.99   -15.27       -34.26   -20.99   -15.27     0.000
   11.06    23.70    29.65        11.06    23.70    29.65     0.000
   24.82     7.22    56.62        24.82     7.22    56.62     0.000
   -6.41    18.54    33.39        -6.41    18.54    33.39     0.000
  -32.68   -24.38   -38.36       -32.68   -24.37   -38.36     0.000
  -17.88    10.58   -39.33       -17.88    10.58   -39.33     0.000
   14.87   -10.50    12.61        14.87   -10.50    12.61     0.000
   35.46     5.92   -18.82        35.46     5.92   -18.82     0.000
  -41.56    -0.87   -23.96       -41.56    -0.87   -23.96     0.000
   31.47     9.89    17.81        31.47     9.89    17.81     0.000
   42.05     5.25    -5.44        42.05     5.25    -5.44     0.000
   -4.53    -1.36   -37.39        -4.53    -1.36   -37.39     0.000
   35.14    -8.09   -14.00        35.14    -8.09   -14.00     0.000
    4.66   -20.14   -15.10         4.66   -20.14   -15.10     0.000
   23.77    -0.55    57.26        23.77    -0.55    57.26     0.000
   16.82    -5.26    40.54        16.82    -5.26    40.54     0.000
  -31.19   -26.74   -34.52       -31.19   -26.74   -34.52     0.000
   -8.60   -22.30   -38.96        -8.60   -22.30   -38.96     0.000
    1.98   -22.50   -21.33         1.98   -22.50   -21.33     0.000
   39.29    11.95    -5.32        39.29    11.95    -5.32     0.000
   27.08    21.94    -2.88        27.08    21.94    -2.88     0.000
   31.06    18.77    -9.07        31.06    18.77    -9.07     0.000
   -6.58    11.17     4.65        -6.58    11.17     4.65     0.000
   30.67     6.73    26.70        30.67     6.73    26.70     0.000
   34.75     2.99   -19.03        34.75     2.99   -19.03     0.000
   -0.26    -1.57    48.45        -0.26    -1.57    48.45     0.000
  -28.33   -27.49   -18.00       -28.33   -27.49   -18.00     0.000
  -35.16     9.56   -29.56       -35.16     9.56   -29.56     0.000
  -35.99     0.03   -43.79       -35.99     0.03   -43.79     0.000
  -21.26    -9.73   -50.89       -21.26    -9.73   -50.89     0.000
    9.28   -14.96   -23.54         9.28   -14.96   -23.54     0.000
   34.15    -9.33   -13.87        34.15    -9.33   -13.87     0.000
   24.87     4.36    56.22        24.87     4.36    56.22     0.000
   -3.14   -10.69     4.08        -3.14   -10.69     4.08     0.000
  -20.40   -13.48   -48.97       -20.40   -13.48   -48.97     0.000
   36.91     9.24   -16.12        36.91     9.24   -16.12     0.000
   28.58     6.38    36.72        28.58     6.38    36.72     0.000
    2.08     5.59    62.21         2.08     5.59    62.21     0.000
   -3.42    -0.28    50.08        -3.42    -0.28    50.08     0.000
  -37.87     0.86   -39.26       -37.87     0.86   -39.26     0.000
   -9.33     8.80     0.11        -9.33     8.80     0.11     0.000
    3.20    -9.30   -33.09         3.20    -9.30   -33.09     0.000
   -4.43   -22.44   -35.04        -4.43   -22.44   -35.04     0.000
   -5.52    -5.86    20.07        -5.52    -5.86    20.07     0.000
   31.77    -4.23    10.26        31.77    -4.23    10.26     0.000
  -15.00     0.05   -47.62       -15.00     0.05   -47.62     0.000
   21.14    17.19    30.68        21.14    17.19    30.68     0.000
   -2.62    11.84     0.17        -2.62    11.84     0.17     0.000
   -2.23    12.60     1.11        -2.23    12.60     1.11     0.000
   -6.23    -9.00     5.72        -6.23    -9.00     5.72     0.000
    0.51    -9.78    14.81         0.51    -9.78    14.81     0.000
   17.08   -12.59     7.58        17.08   -12.59     7.58     0.000
    1.48    -2.81   -25.53         1.48    -2.81   -25.53     0.000
    9.66    -4.72    35.31         9.66    -4.72    35.31     0.000
  -37.66     5.52   -33.60       -37.66     5.52   -33.60     0.000
  -37.59   -19.29   -17.17       -37.59   -19.29   -17.17     0.000
   -4.99     0.39    46.89        -4.99     0.39    46.89     0.000
  -31.32    11.38   -22.94       -31.32    11.38   -22.94     0.000
   22.67   -11.25     7.96        22.67   -11.25     7.96     0.000
  -23.41     4.69    27.20       -23.41     4.69    27.20     0.000
   38.24     1.81    12.62        38.24     1.81    12.62     0.000
   37.31    13.12     9.71        37.31    13.12     9.71     0.000
   -9.83    -5.64   -46.54        -9.83    -5.64   -46.54     0.000
  -30.54   -26.04   -18.71       -30.54   -26.04   -18.71     0.000
   35.19     8.33   -20.01        35.19     8.33   -20.01     0.000
  -10.70     4.14   -42.50       -10.70     4.14   -42.50     0.000
  -27.75    -7.35    -7.94       -27.75    -7.35    -7.94     0.000
    7.08    21.11    -6.89         7.08    21.11    -6.89     0.000
    4.22    -6.75   -28.92         4.22    -6.75   -28.92     0.000
  -25.63     3.42   -12.96       -25.63     3.42   -12.96     0.000
   -3.35   -10.31     4.82        -3.35   -10.31     4.82     0.000
  -40.74    -4.42   -20.09       -40.74    -4.42   -20.09     0.000
  -20.90   -19.92    -7.56       -20.90   -19.92    -7.56     0.000
   -3.18     9.34    -4.70        -3.18     9.34    -4.70     0.000
    2.71     9.48    62.09         2.71     9.48    62.09     0.000
   25.58     2.86    52.09        25.58     2.86    52.09     0.000
   33.18    16.35    10.15        33.18    16.35    10.15     0.000
   10.74    21.90   -10.47        10.74    21.90   -10.47     0.000
  -30.55    10.71   -33.14       -30.55    10.71   -33.14     0.000
  -10.68   -21.76   -11.60       -10.68   -21.76   -11.60     0.000
   25.69    19.91   -19.57        25.69    19.91   -19.57     0.000
   23.68     0.14    59.91        23.68     0.14    59.91     0.000
   31.86    18.83     0.04        31.86    18.83     0.04     0.000
   11.53   -16.49   -10.77        11.53   -16.49   -10.77     0.000
   -6.54    -3.71   -43.37        -6.54    -3.71   -43.37     0.000
  -18.52     6.42     8.63       -18.52     6.42     8.63     0.000
