150 PA5-C-Debug-Answer.txt 6
  107.4758   59.0758  -14.9476  -45.6564  -46.8965   -1.6367
  -32.30    -3.54   -10.80       -32.30    -3.54   -10.80     0.000
   10.06     4.18   -18.98        10.06     4.18   -18.98     0.000
   -3.69   -25.35   -31.27        -3.69   -25.35   -31.27     0.000
  -38.78   -14.96   -39.84       -38.78   -14.96   -39.84     0.000
   -4.16    -3.18   -39.16        -4.16    -3.18   -39.16     0.000
    2.24    17.65     4.47         2.24    17.65     4.47     0.000
  -24.03     8.20   -18.47       -24.03     8.20   -18.47     0.000
   15.26    -4.89    25.50        15.26    -4.89    25.50     0.000
  -41.92    -8.66   -36.41       -41.92    -8.66   -36.41     0.000
   11.66     5.77    70.39        11.66     5.77    70.39     0.000
  -33.19     3.35   -38.40       -33.19     3.35   -38.40     0.000
  -37.75   -21.04   -16.92       -37.75   -21.04   -16.92     0.000
  -10.31   -26.44   -13.94       -10.31   -26.44   -13.94     0.000
   17.78   -16.71   -15.31        17.78   -16.71   -15.31     0.000
   28.14   -10.33    -8.00        28.14   -10.33    -8.00     0.000
  -19.29   -33.18   -20.34       -19.29   -33.18   -20.34     0.000
    0.89    17.71     6.52         0.89    17.71     6.52     0.000
   27.91     9.40    16.63        27.91     9.40    16.63     0.000
  -32.52   -15.24   -45.54       -32.52   -15.24   -45.54     0.000
   -1.05    -9.17   -30.70        -1.05    -9.17   -30.70     0.000
  -11.35   -14.93    -5.25       -11.35   -14.93    -5.25     0.000
    4.43    -6.53    24.55         4.43    -6.53    24.55     0.000
  -33.75     1.81   -14.60       -33.75     1.81   -14.60     0.000
   -0.83    24.66    20.53        -0.83    24.66    20.53     0.000
  -10.88     3.94    -2.25       -10.88     3.94    -2.25     0.000
   11.87    -5.44    23.77        11.87    -5.44    23.77     0.000
   -0.74   -11.43   -34.76        -0.74   -11.43   -34.76     0.000
   -5.63     1.53    53.88        -5.63     1.53    53.88     0.000
   33.87     7.01   -24.01        33.87     7.01   -24.01     0.000
   12.51     9.43    70.68        12.51     9.43    70.68     0.000
  -24.68   -25.34    -9.55       -24.68   -25.34    -9.55     0.000
  -36.36     4.32   -24.46       -36.36     4.32   -24.46     0.000
   -0.05    -0.76   -27.35        -0.05    -0.76   -27.35     0.000
    1.90   -12.75   -24.99         1.90   -12.75   -24.99     0.000
    6.65    -6.77   -25.39         6.65    -6.77   -25.39     0.000
    2.68    16.53    65.85         2.68    16.53    65.85     0.000
  -11.06   -17.95    -7.90       -11.06   -17.95    -7.90     0.000
    6.17    -5.27    43.23         6.17    -5.27    43.23     0.000
   -6.36     7.78   -25.96        -6.36     7.78   -25.96     0.000
   20.06     8.23    56.37        20.06     8.23    56.37     0.000
  -17.00   -33.52   -25.41       -17.00   -33.52   -25.41     0.000
   35.92     2.89     5.22        35.92     2.89     5.22     0.000
  -24.60   -12.84    -5.69       -24.60   -12.84    -5.69     0.000
  -13.74    21.10    32.46       -13.74    21.10    32.46     0.000
   18.67    -6.13    12.08        18.67    -6.13    12.08     0.000
    9.23     5.04    69.93         9.23     5.04    69.93     0.000
  -44.58   -14.96   -29.17       -44.58   -14.96   -29.17     0.000
  -12.70    -0.47     3.45       -12.70    -0.47     3.45     0.000
   -5.23     0.99    48.85        -5.23     0.99    48.85     0.000
    1.34   -14.64   -26.30         1.34   -14.64   -26.30     0.000
   30.32    19.03   -12.35        30.32    19.03   -12.35     0.000
   20.28     4.28   -30.35        20.28     4.28   -30.35     0.000
   -3.65     0.40    70.08        -3.65     0.40    70.08     0.000
   23.08    23.86   -21.23        23.08    23.86   -21.23     0.000
   -3.08    22.00    36.79        -3.08    22.00    36.79     0.000
    5.16   -14.31   -21.38         5.16   -14.31   -21.38     0.000
   29.80     3.79    12.82        29.80     3.79    12.82     0.000
    0.34   -19.62   -32.33         0.34   -19.62   -32.33     0.000
   21.62    -5.31   -30.61        21.62    -5.31   -30.61     0.000
    2.72    -4.90    47.42         2.72    -4.90    47.42     0.000
   28.97    13.03    13.34        28.97    13.03    13.34     0.000
   14.92    -5.75    16.83        14.92    -5.75    16.83     0.000
   18.25    25.15   -11.65        18.25    25.15   -11.65     0.000
  -29.88     6.49   -17.34       -29.88     6.49   -17.34     0.000
   -4.79     2.55   -33.69        -4.79     2.55   -33.69     0.000
  -43.28   -18.32   -31.11       -43.28   -18.32   -31.11     0.000
   -6.68     2.69    58.82        -6.68     2.69    58.82     0.000
   15.08    25.05    -8.18        15.08    25.05    -8.18     0.000
   -5.87     6.44    42.46        -5.87     6.44    42.46     0.000
   -5.05   -19.10   -41.74        -5.05   -19.10   -41.74     0.000
   -3.03    -3.81   -36.21        -3.03    -3.81   -36.21     0.000
   32.85    -5.08   -24.95        32.85    -5.08   -24.95     0.000
    5.69    22.16    28.25         5.69    22.16    28.25     0.000
   13.23    -6.82    12.13        13.23    -6.82    12.13     0.000
   -6.26   -10.57   -43.85        -6.26   -10.57   -43.85     0.000
    6.93    19.25    46.67         6.93    19.25    46.67     0.000
   12.31     2.53    70.63        12.31     2.53    70.63     0.000
  -40.89   -14.75   -34.26       -40.89   -14.75   -34.26     0.000
   20.30    15.85   -30.57        20.30    15.85   -30.57     0.000
    8.39    23.74    17.62         8.39    23.74    17.62     0.000
    1.00     0.74   -25.73         1.00     0.74   -25.73     0.000
    1.87    13.06    -1.94         1.87    13.06    -1.94     0.000
   30.75    15.97     6.93        30.75    15.97     6.93     0.000
   17.93    20.75    24.76        17.93    20.75    24.76     0.000
  -18.07    -3.70   -47.69       -18.07    -3.70   -47.69     0.000
   19.86     8.64    58.31        19.86     8.64    58.31     0.000
   17.58    -9.71    -0.15        17.58    -9.71    -0.15     0.000
   14.76    19.50    51.78        14.76    19.50    51.78     0.000
    1.24   -16.89   -27.03         1.24   -16.89   -27.03     0.000
   -5.21    10.76    49.75        -5.21    10.76    49.75     0.000
   -6.12     1.70    59.22        -6.12     1.70    59.22     0.000
   29.72    -8.76   -26.73        29.72    -8.76   -26.73     0.000
  -38.08   -19.96   -16.30       -38.08   -19.96   -16.30     0.000
  -22.25   -31.68   -36.58       -22.25   -31.68   -36.58     0.000
  -34.99   -26.90   -32.12       -34.99   -26.90   -32.12     0.000
   -6.60     7.08    29.58        -6.60     7.08    29.58     0.000
   32.30    -8.92   -17.45        32.30    -8.92   -17.45     0.000
   27.17     4.24    17.40        27.17     4.24    17.40     0.000
   27.59    14.78   -27.23        27.59    14.78   -27.23     0.000
  -12.56     8.53   -37.89       -12.56     8.53   -37.89     0.000
   27.57    21.15    -4.52        27.57    21.15    -4.52     0.000
  -40.11    -5.40   -16.44       -40.11    -5.40   -16.44     0.000
   14.97    23.51   -16.21        14.97    23.51   -16.21     0.000
  -20.50    10.25   -36.87       -20.50    10.25   -36.87     0.000
  -28.96     9.73   -29.49       -28.96     9.73   -29.49     0.000
  -24.49    -2.73   -10.33       -24.49    -2.73   -10.33     0.000
   -5.79     8.42    57.57        -5.79     8.42    57.57     0.000
    0.25   -20.59   -26.13         0.25   -20.59   -26.13     0.000
  -41.54   -18.61   -34.59       -41.54   -18.61   -34.59     0.000
   -7.75     8.74   -26.60        -7.75     8.74   -26.60     0.000
   -5.24     1.15    52.21        -5.24     1.15    52.21     0.000
   -6.39     7.91   -13.77        -6.39     7.91   -13.77     0.000
    5.87    -5.41    32.83         5.87    -5.41    32.83     0.000
    9.81    -5.17    54.34         9.81    -5.17    54.34     0.000
   -3.99   -15.26    -7.26        -3.99   -15.26    -7.26     0.000
    9.25     4.72   -18.73         9.25     4.72   -18.73     0.000
    9.79    16.38   -10.17         9.79    16.38   -10.17     0.000
   -3.74    -8.33    10.07        -3.74    -8.33    10.07     0.000
  -29.51     0.82   -13.92       -29.51     0.82   -13.92     0.000
  -40.96   -19.42   -21.80       -40.96   -19.42   -21.80     0.000
  -39.07   -16.65   -37.34       -39.07   -16.65   -37.34     0.000
   -0.42    15.67    58.69        -0.42    15.67    58.69     0.000
    4.75    19.51    43.02         4.75    19.51    43.02     0.000
  -31.49   -13.58    -6.54       -31.49   -13.58    -6.54     0.000
    3.85    16.32     0.39         3.85    16.32     0.39     0.000
   -7.79    -0.02    17.21        -7.79    -0.02    17.21     0.000
   -6.69    -1.46    26.50        -6.69    -1.46    26.50     0.000
  -44.41   -12.34   -25.79       -44.41   -12.34   -25.79     0.000
   22.52    -0.33    26.26        22.52    -0.33    26.26     0.000
   30.42    -3.55   -29.56        30.42    -3.55   -29.56     0.000
  -37.82   -17.69   -40.25       -37.82   -17.69   -40.25     0.000
    5.13    18.54    50.52         5.13    18.54    50.52     0.000
   12.38    18.74    63.28        12.38    18.74    63.28     0.000
   19.72    -5.60    14.64        19.72    -5.60    14.64     0.000
   -9.77   -31.11   -25.65        -9.77   -31.11   -25.65     0.000
   21.35    11.13    42.84        21.35    11.13    42.84     0.000
    3.17    10.48    -8.99         3.17    10.48    -8.99     0.000
   -6.53   -15.31    -6.42        -6.53   -15.31    -6.42     0.000
   21.33    -8.18   -29.77        21.33    -8.18   -29.77     0.000
  -33.20     0.31   -41.14       -33.20     0.31   -41.14     0.000
   -5.79    -7.59   -42.52        -5.79    -7.59   -42.52     0.000
   -8.35    11.34    15.25        -8.35    11.34    15.25     0.000
   22.41    23.59     4.33        22.41    23.59     4.33     0.000
    0.06   -20.20   -32.84         0.06   -20.20   -32.84     0.000
